"","ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"88",93272,1,2020,"Elec- Commercial","Y",0,0,NA
"89",93272,2,2020,"Elec- Commercial","Y",0,0,NA
"90",93272,3,2020,"Elec- Commercial","Y",0,0,NA
"91",93274,1,2020,"Elec- Commercial","Y",0,0,NA
"92",93274,2,2020,"Elec- Commercial","Y",0,0,NA
"93",93274,3,2020,"Elec- Commercial","Y",0,0,NA
"94",93276,1,2020,"Elec- Commercial","Y",0,0,NA
"95",93276,2,2020,"Elec- Commercial","Y",0,0,NA
"96",93276,3,2020,"Elec- Commercial","Y",0,0,NA
"97",93277,1,2020,"Elec- Commercial","Y",0,0,NA
"98",93277,2,2020,"Elec- Commercial","Y",0,0,NA
"99",93277,3,2020,"Elec- Commercial","Y",0,0,NA
"100",93280,1,2020,"Elec- Commercial","Y",0,0,NA
"101",93280,2,2020,"Elec- Commercial","Y",0,0,NA
"102",93280,3,2020,"Elec- Commercial","Y",0,0,NA
"103",93286,1,2020,"Elec- Commercial","Y",0,0,NA
"104",93286,2,2020,"Elec- Commercial","Y",0,0,NA
"105",93286,3,2020,"Elec- Commercial","Y",0,0,NA
"106",93291,1,2020,"Elec- Commercial","Y",0,0,NA
"107",93291,2,2020,"Elec- Commercial","Y",0,0,NA
"108",93291,3,2020,"Elec- Commercial","Y",0,0,NA
"109",93292,1,2020,"Elec- Commercial","Y",0,0,NA
"110",93292,2,2020,"Elec- Commercial","Y",0,0,NA
"111",93292,3,2020,"Elec- Commercial","Y",0,0,NA
"112",93301,1,2020,"Elec- Commercial","N",1678,10433988,6218
"113",93301,2,2020,"Elec- Commercial","N",1676,9602403,5729
"114",93301,3,2020,"Elec- Commercial","N",1668,9569268,5737
"115",93304,1,2020,"Elec- Commercial","N",1033,8222691,7960
"116",93304,2,2020,"Elec- Commercial","N",1032,7624061,7388
"117",93304,3,2020,"Elec- Commercial","N",1024,7081381,6915
"118",93305,1,2020,"Elec- Commercial","N",793,3451925,4353
"119",93305,2,2020,"Elec- Commercial","N",793,3169090,3996
"120",93305,3,2020,"Elec- Commercial","N",796,3205580,4027
"121",93306,1,2020,"Elec- Commercial","N",679,5831907,8589
"122",93306,2,2020,"Elec- Commercial","N",677,5328239,7870
"123",93306,3,2020,"Elec- Commercial","N",678,5175403,7633
"124",93307,1,2020,"Elec- Commercial","Y",1733,12869751,7426
"125",93307,2,2020,"Elec- Commercial","Y",1746,11726649,6716
"126",93307,3,2020,"Elec- Commercial","Y",1748,11100905,6351
"127",93308,1,2020,"Elec- Commercial","N",2224,18679282,8399
"128",93308,2,2020,"Elec- Commercial","Y",3907,26574258,6802
"129",93308,3,2020,"Elec- Commercial","N",2217,16636772,7504
"130",93309,1,2020,"Elec- Commercial","N",1338,10894774,8143
"131",93309,2,2020,"Elec- Commercial","N",1345,10182661,7571
"132",93309,3,2020,"Elec- Commercial","N",1345,9459349,7033
"133",93311,1,2020,"Elec- Commercial","Y",559,7239569,12951
"134",93311,2,2020,"Elec- Commercial","Y",562,6436105,11452
"135",93311,3,2020,"Elec- Commercial","Y",563,6379936,11332
"136",93312,1,2020,"Elec- Commercial","N",835,6505505,7791
"137",93312,2,2020,"Elec- Commercial","N",835,6077697,7279
"138",93312,3,2020,"Elec- Commercial","N",831,5747145,6916
"139",93313,1,2020,"Elec- Commercial","N",1068,7961044,7454
"140",93313,2,2020,"Elec- Commercial","N",1068,7225095,6765
"141",93313,3,2020,"Elec- Commercial","N",1068,7182258,6725
"142",93314,1,2020,"Elec- Commercial","Y",0,0,NA
"143",93314,2,2020,"Elec- Commercial","Y",0,0,NA
"144",93314,3,2020,"Elec- Commercial","Y",0,0,NA
"145",93401,1,2020,"Elec- Commercial","N",2538,13690267,5394
"146",93401,2,2020,"Elec- Commercial","N",2530,12769045,5047
"147",93401,3,2020,"Elec- Commercial","N",2528,12218677,4833
"148",93402,1,2020,"Elec- Commercial","Y",0,0,NA
"149",93402,2,2020,"Elec- Commercial","Y",0,0,NA
"150",93402,3,2020,"Elec- Commercial","Y",0,0,NA
"151",93405,1,2020,"Elec- Commercial","Y",786,5418668,6894
"152",93405,2,2020,"Elec- Commercial","Y",787,5064974,6436
"153",93405,3,2020,"Elec- Commercial","Y",791,4923661,6225
"154",93407,1,2020,"Elec- Commercial","Y",0,0,NA
"155",93407,2,2020,"Elec- Commercial","Y",0,0,NA
"156",93407,3,2020,"Elec- Commercial","Y",0,0,NA
"157",93420,1,2020,"Elec- Commercial","N",1111,3626847,3264
"158",93420,2,2020,"Elec- Commercial","N",1111,3458929,3113
"159",93420,3,2020,"Elec- Commercial","N",1111,3409430,3069
"160",93422,1,2020,"Elec- Commercial","Y",1635,5521118,3377
"161",93422,2,2020,"Elec- Commercial","Y",1735,5218610,3008
"162",93422,3,2020,"Elec- Commercial","Y",1738,5008273,2882
"163",93426,1,2020,"Elec- Commercial","Y",0,0,NA
"164",93426,2,2020,"Elec- Commercial","Y",0,0,NA
"165",93426,3,2020,"Elec- Commercial","Y",0,0,NA
"166",93427,1,2020,"Elec- Commercial","Y",664,3301489,4972
"167",93427,2,2020,"Elec- Commercial","N",432,2212303,5121
"168",93427,3,2020,"Elec- Commercial","N",430,2261938,5260
"169",93428,1,2020,"Elec- Commercial","Y",514,1305571,2540
"170",93428,2,2020,"Elec- Commercial","Y",512,1217022,2377
"171",93428,3,2020,"Elec- Commercial","Y",512,1113254,2174
"172",93429,1,2020,"Elec- Commercial","Y",0,0,NA
